dataset,image_id,model,generated_caption,reference_captions,question,answers
coco,465718,blip2,a desk with two monitors and a keyboard,"['A computer desk topped with two monitors and a laptop.', 'a table with so many screen and a keyboard', 'A desk has two computer monitors, a keyboard, and a laptop that is all connected.', 'A computer desk with two monitors and a laptop.', 'A desk with a laptop, two monitors, two speakers, a keyboard, a mouse and a cell phone on it. ']",,
coco,14888,blip2,a cow is being milked by a machine,"['A cow getting relief as it is being milked.\n', 'A cow is being milked by a machine.', 'A dairy cow suffering in confinement hooked up to a milking machine.', 'A dairy cow is being milked by machine..', 'Small cow sitting on a milking machine in a dirty area.']",,
coco,24027,blip2,a man is flying a kite,"['A kite flying over a city park on a windy day.', 'an unusually shaped kite and a very colorful one', 'A colorful object is flying through the blue sky', 'A colorful kite flying through a cloudy blue sky.', 'a large kite that is being flown in the sky']",,
coco,521052,blip2,a black and white image of a truck on a street,"['A decorated truck is parked at a curb near a building.', 'A delivery box truck with a painting going around it.', 'a brightly painted truck on a city street', 'A black and red truck with artwork is parked near a sidewalk on a street.', 'This is a picture of a interesting mural on a truck.']",,
coco,279541,blip2,a pizza is being made in a restaurant,"['a bunch of pizzas are on display under a case', 'A display of different pizzas in a restaurant. ', 'A buffet with many pizzas lined up behind glass.', 'Several different kinds of pizzas displayed on a buffet line.', 'A buffet display case filled with lots of pizzas on pans.']",,
coco,366141,blip2,a cat sits on a couch in a living room,"['a cat laying on top of a chair in the living room ', 'a living room with a couch and large television', 'A room with a couch, chair, table and television in it. ', 'A living room with a chair, couch, and a TV', 'Cat sitting on recliner back in room facing the television']",,
coco,293625,blip2,a woman is playing a video game,"['The women are playing a video game together.', 'Two girls are playing the Wii game system together.', 'Two women in glasses using Nintendo wii remote controllers.', 'Two friends are sitting on the couch, enjoying a game played on the wii.', 'Young women holding remote game controls while playing.']",,
coco,407943,blip2,a silhouette of a person in a dark room,"['A man walking in front of an open umbrella.', 'A head in silhouette in front of a large umbrella.', 'a shadow of a man on an umbrella ', ""The shadow of a man's head is seen cast on an airbag."", 'a mans shadow in front of lighting equipment']",,
coco,335954,blip2,"a smoothie bowl with strawberries, raspberries and kale","['two cups filled with veggies and nuts ', 'this is a salad in some glass bowls', 'a close up of two cups of fruits on a counter ', 'Two cups of fruits placed next to each other.', 'Pair of fruit cups on kitchen marble counter.']",,
coco,312720,blip2,a person is flying a kite in the air,"['A man flying through the air while skiing.', 'A person on skis flies through the air on a rope.', 'A skier is clearing a jump at the top of a slope', 'A person on skis off the ground attached to a cable in a snowy field.', 'A skier is in the air holding on to some ropes.']",,
coco,568814,blip2,a man with a beard,"['A man with a bear sitting with his arms crossed and his tie over his left shoulder.', 'A man with a beard in a tie sits with his arms crossed.', 'a man with a beard and a gray shirt and tie', 'A man with a tie is staring at something.', 'Man with beard folding arms with tie over shoulder.']",,
coco,9483,blip2,a man stands in front of a computer screen,"['A man in a suit standing next to a control board and computer.', 'A man standing near a table with video equipment. ', 'Man in suit smiling next to electronics and monitors', 'A man by desk with mixing equipment, a keyboard and a computer monitor.', 'A man in a suit stands near a table with computer equipment on it.']",,
coco,370711,blip2,a woman is standing in front of a shop window,"[""A man's reflection taking a picture through a shop window."", 'A man taking a picture of items for sale through the front window of a store.', 'A display on a store front with lots of items on display.', 'a picture looking in to an umbrella shop', 'A display of shoes and umbrellas are in a window.']",,
coco,419096,blip2,a train on a train track,"['A train traveling down tracks net to a  bridge.', 'A train going down the train track. ', 'A freight train running along tracks beneath a bridge.', 'A red and black train on the train tracks.', ""A red and black BNSF train travels along it's tracks.""]",,
coco,535253,blip2,a shopping cart filled with groceries,"['A variety of items is shown in a shopping cart.', 'A cart full of many types of different food.', 'A view from above looking into a shopping cart full of groceries', 'A shopping cart filled with lots of groceries.', 'A shopping cart full of food that includes bananas and milk.']",,
coco,209829,blip2,a surfer rides a wave on a surfboard,"['A person standing on a surfboard in the water.', 'A man that is standing on a surfboard in the water.', 'Men in wetsuits surfing on small waves by a rock pier', 'A man riding a board on top of a wave.', 'A man on a surfboard with two people swimming behind him.']",,
coco,422836,blip2,a man is walking down a street in paris,"['A man walking down the street carrying a suitcase.', 'A man is holding a suitcase at a city intersection.', 'A person standing by a light post holding a large suitcase.', 'A man is carrying a suitcase through the street', 'two men walking down a city streen next to a blue pole.']",,
coco,293474,blip2,a yellow fire hydrant sits on a sidewalk,"['a yellow and black fire hydrant on the sidewalk', 'A yellow and black frisbee sitting on a  sidewalk.', 'Yellow and black fire hydrant near curb in front of store window', 'a black and yellow fire hydrant on a city street', 'A yellow fire hydrant on a sidewalk by a storefront.']",,
