dataset,image_id,model,generated_caption,reference_captions,question,answers
coco,465718,blip1,this is a computer desk with two monitors and a laptop,"['A computer desk topped with two monitors and a laptop.', 'a table with so many screen and a keyboard', 'A desk has two computer monitors, a keyboard, and a laptop that is all connected.', 'A computer desk with two monitors and a laptop.', 'A desk with a laptop, two monitors, two speakers, a keyboard, a mouse and a cell phone on it. ']",,
coco,14888,blip1,this is a close up of a cow drinking milk from a bucket,"['A cow getting relief as it is being milked.\n', 'A cow is being milked by a machine.', 'A dairy cow suffering in confinement hooked up to a milking machine.', 'A dairy cow is being milked by machine..', 'Small cow sitting on a milking machine in a dirty area.']",,
coco,24027,blip1,there is a kite that is flying in the sky on a cloudy day,"['A kite flying over a city park on a windy day.', 'an unusually shaped kite and a very colorful one', 'A colorful object is flying through the blue sky', 'A colorful kite flying through a cloudy blue sky.', 'a large kite that is being flown in the sky']",,
coco,521052,blip1,painting on the back of a truck on the side of the road,"['A decorated truck is parked at a curb near a building.', 'A delivery box truck with a painting going around it.', 'a brightly painted truck on a city street', 'A black and red truck with artwork is parked near a sidewalk on a street.', 'This is a picture of a interesting mural on a truck.']",,
coco,279541,blip1,there are many pizzas that are on the counter in the restaurant,"['a bunch of pizzas are on display under a case', 'A display of different pizzas in a restaurant. ', 'A buffet with many pizzas lined up behind glass.', 'Several different kinds of pizzas displayed on a buffet line.', 'A buffet display case filled with lots of pizzas on pans.']",,
coco,366141,blip1,this is an image of a living room with a couch and a television,"['a cat laying on top of a chair in the living room ', 'a living room with a couch and large television', 'A room with a couch, chair, table and television in it. ', 'A living room with a chair, couch, and a TV', 'Cat sitting on recliner back in room facing the television']",,
coco,293625,blip1,there are two women that are playing a video game together,"['The women are playing a video game together.', 'Two girls are playing the Wii game system together.', 'Two women in glasses using Nintendo wii remote controllers.', 'Two friends are sitting on the couch, enjoying a game played on the wii.', 'Young women holding remote game controls while playing.']",,
coco,407943,blip1,black and white photo of a person holding an umbrella in a dark room,"['A man walking in front of an open umbrella.', 'A head in silhouette in front of a large umbrella.', 'a shadow of a man on an umbrella ', ""The shadow of a man's head is seen cast on an airbag."", 'a mans shadow in front of lighting equipment']",,
coco,335954,blip1,there are two cups filled with fruit and nuts on a counter,"['two cups filled with veggies and nuts ', 'this is a salad in some glass bowls', 'a close up of two cups of fruits on a counter ', 'Two cups of fruits placed next to each other.', 'Pair of fruit cups on kitchen marble counter.']",,
coco,312720,blip1,there is a man flying a kite in the air on a snowy field,"['A man flying through the air while skiing.', 'A person on skis flies through the air on a rope.', 'A skier is clearing a jump at the top of a slope', 'A person on skis off the ground attached to a cable in a snowy field.', 'A skier is in the air holding on to some ropes.']",,
